tripinfo_arrival;tripinfo_waitSteps;tripinfo_vType;tripinfo_depart;tripinfo_routeLength;tripinfo_vaporized;tripinfo_duration;tripinfo_arrivalSpeed;tripinfo_devices;tripinfo_departPos;tripinfo_departDelay;tripinfo_timeLoss;tripinfo_departLane;tripinfo_departSpeed;tripinfo_arrivalPos;tripinfo_rerouteNo;tripinfo_id;tripinfo_arrivalLane;personinfo_depart;personinfo_id;stop_arrival;walk_arrival;ride_arrival;ride_depart
321.00;71;passenger;3.00;2109.67;;318.00;10.54;tripinfo_veh5 routing_veh5;5.10;-0.30;111.29;-180878324_1;0.00;16.84;1;veh5;171874523_1;;;;;;
321.00;3;passenger;228.00;688.43;;93.00;10.46;tripinfo_veh346 routing_veh346;5.10;-0.08;24.13;177308074#4_1;0.00;50.71;1;veh346;176910667#1_2;;;;;;
321.00;1;passenger;197.00;845.70;;124.00;11.08;tripinfo_veh299 routing_veh299;5.10;-0.10;26.80;324985135_1;0.00;64.84;1;veh299;182007938#4_1;;;;;;
322.00;76;passenger;141.00;596.24;;181.00;9.85;tripinfo_veh214 routing_veh214;5.10;-0.07;111.81;237095112#2_1;0.00;46.95;1;veh214;37174491#2_1;;;;;;
323.00;0;passenger;220.00;728.04;;103.00;10.82;tripinfo_veh335 routing_veh335;5.10;-0.83;22.00;30598985#3_1;0.00;57.44;1;veh335;38060291#1_1;;;;;;
323.00;0;passenger;26.00;2799.76;;297.00;13.52;tripinfo_veh40 routing_veh40;5.10;-0.37;35.67;30418072#0_1;0.00;236.88;1;veh40;37501148_1;;;;;;
326.00;22;truck;39.00;2118.95;;287.00;10.80;tripinfo_truck5 routing_truck5;7.20;-0.55;76.97;-180878324_1;0.00;16.84;1;truck5;171874523_1;;;;;;
326.00;6;truck;3.00;2143.87;;323.00;9.78;tripinfo_truck0 routing_truck0;7.20;3.00;87.80;30565122#4_1;0.00;28.16;1;truck0;-180135575_1;;;;;;
326.00;70;passenger;60.00;1491.26;;266.00;10.18;tripinfo_veh92 routing_veh92;5.10;-0.65;101.95;194799782#0_1;0.00;134.99;1;veh92;177308097#1_1;;;;;;
327.00;0;passenger;27.00;2533.25;;300.00;11.00;tripinfo_veh41 routing_veh41;5.10;-0.03;42.13;182175782_1;0.00;14.23;1;veh41;175999092#2_1;;;;;;
336.00;20;passenger;121.00;1288.03;;215.00;10.76;tripinfo_veh185 routing_veh185;5.10;-0.95;74.93;324751739#2_1;0.00;2.11;1;veh185;180328745#3_1;;;;;;
336.00;76;passenger;90.00;1161.04;;246.00;6.53;tripinfo_veh138 routing_veh138;5.10;-0.97;117.70;30534258#2_1;0.00;4.82;1;veh138;177308057#0_1;;;;;;
337.00;0;passenger;151.00;2298.13;;186.00;13.34;tripinfo_veh230 routing_veh230;5.10;-0.61;18.77;194799779_1;0.00;27.68;1;veh230;37503198#0_1;;;;;;
338.00;0;passenger;52.00;2159.29;;286.00;10.31;tripinfo_veh76 routing_veh76;5.10;1.90;56.23;177338964_0;0.00;63.82;1;veh76;30533880#3_1;;;;;;
342.00;0;passenger;66.00;3096.37;;276.00;10.93;tripinfo_veh101 routing_veh101;0.20;-0.58;41.23;182007932#0_1;0.00;37.78;1;veh101;4526409#0_1;;;;;;
343.00;0;passenger;220.00;1060.67;;123.00;13.61;tripinfo_veh332 routing_veh332;0.20;1.15;26.48;324043272#3_1;0.00;27.02;1;veh332;279549604#1_1;;;;;;
344.00;0;passenger;37.00;3882.07;;307.00;21.35;tripinfo_veh57 routing_veh57;5.10;-0.57;32.74;176910669#0_1;0.00;508.85;1;veh57;30802007#3_0;;;;;;
345.00;0;passenger;123.00;2855.23;;222.00;10.93;tripinfo_veh188 routing_veh188;5.10;-0.93;33.71;-324985147#0_1;0.00;26.19;1;veh188;266152523_1;;;;;;
346.00;0;passenger;108.00;2765.89;;238.00;10.81;tripinfo_veh165 routing_veh165;5.10;-0.77;26.11;33128389#3_1;0.00;11.34;1;veh165;175999132#2_1;;;;;;
348.00;4;passenger;212.00;943.08;;136.00;9.88;tripinfo_veh323 routing_veh323;5.10;-0.92;35.54;56026350#3_1;0.00;22.78;1;veh323;180762422#1_1;;;;;;
348.00;0;passenger;159.00;1245.81;;189.00;9.84;tripinfo_veh242 routing_veh242;5.10;-0.52;27.10;265745121#2_0;0.00;62.93;1;veh242;-37180457_1;;;;;;
349.00;0;passenger;185.00;1196.80;;164.00;10.14;tripinfo_veh281 routing_veh281;5.10;-0.23;31.51;202278347#0_1;0.00;35.55;1;veh281;324991230_1;;;;;;
350.00;45;passenger;5.00;2592.76;;345.00;10.70;tripinfo_veh8 routing_veh8;5.10;-0.27;102.24;37164509#1_0;0.00;24.04;1;veh8;-169017784#3_1;;;;;;
350.00;32;passenger;69.00;3068.92;;281.00;10.07;tripinfo_veh105 routing_veh105;5.10;-0.21;70.67;30416947#2_1;0.00;33.90;1;veh105;324985142#1_1;;;;;;
350.00;32;passenger;58.00;1998.49;;292.00;10.76;tripinfo_veh88 routing_veh88;5.10;-0.01;79.89;324751760_1;0.00;30.55;1;veh88;324317859_1;;;;;;
351.00;0;passenger;132.00;1870.30;;219.00;10.07;tripinfo_veh201 routing_veh201;5.10;-0.50;37.26;30802007#1_0;0.00;23.60;1;veh201;175999120#1_1;;;;;;
351.00;0;passenger;162.00;1532.16;;189.00;10.48;tripinfo_veh247 routing_veh247;5.10;-0.82;27.74;-245135214_1;0.00;58.19;1;veh247;200916233#0_1;;;;;;
352.00;0;passenger;52.00;4018.01;;300.00;9.86;tripinfo_veh79 routing_veh79;5.10;-0.08;40.77;171677012#2_1;0.00;0.20;1;veh79;37720450#0_1;;;;;;
354.00;0;passenger;0.00;3396.21;;354.00;10.27;tripinfo_veh1 routing_veh1;5.10;-0.66;55.60;324751770#4_1;0.00;21.35;1;veh1;324317862#8_1;;;;;;
355.00;22;passenger;65.00;3257.67;;290.00;13.38;tripinfo_veh100 routing_veh100;5.10;-0.92;64.89;182857082#2_1;0.00;111.71;1;veh100;-205013607#2_1;;;;;;
356.00;32;passenger;32.00;2587.22;;324.00;10.21;tripinfo_veh50 routing_veh50;5.10;-0.96;91.27;30979908#1_1;0.00;43.74;1;veh50;30417787_1;;;;;;
357.00;23;passenger;131.00;2779.46;;226.00;10.87;tripinfo_veh198 routing_veh198;5.10;0.48;49.04;-279548235_1;0.00;47.99;1;veh198;30416913#0_1;;;;;;
357.00;25;passenger;21.00;2939.68;;336.00;9.96;tripinfo_veh32 routing_veh32;5.10;-0.09;81.93;171677012#3_1;0.00;93.49;1;veh32;-180878327_1;;;;;;
358.00;21;passenger;96.00;1853.56;;262.00;10.73;tripinfo_veh146 routing_veh146;5.10;-0.24;63.72;37394817#4_1;0.00;84.60;1;veh146;30418000#0_1;;;;;;
361.00;117;passenger;110.00;850.95;;251.00;13.57;tripinfo_veh168 routing_veh168;5.10;-0.74;156.21;39958266#0_1;0.00;103.82;1;veh168;177308099#0_1;;;;;;
361.00;0;passenger;131.00;3008.56;;230.00;13.21;tripinfo_veh200 routing_veh200;5.10;-0.84;34.86;37174491#1_1;0.00;235.63;1;veh200;326910418_1;;;;;;
364.00;1;passenger;94.00;1964.95;;270.00;10.69;tripinfo_veh143 routing_veh143;5.10;-0.26;51.37;324752778#1_1;0.00;80.27;1;veh143;30418155#0_1;;;;;;
365.00;0;passenger;279.00;592.24;;86.00;11.05;tripinfo_veh424 routing_veh424;5.10;-0.49;18.16;171720609#3_1;0.00;29.55;1;veh424;38044976_1;;;;;;
366.00;1;passenger;65.00;4616.74;;301.00;10.78;tripinfo_veh99 routing_veh99;5.10;-0.26;37.05;269007653_1;0.00;2.73;1;veh99;175793381#1_1;;;;;;
367.00;0;passenger;184.00;1437.92;;183.00;9.88;tripinfo_veh280 routing_veh280;5.10;-0.57;31.38;30416739#5_1;0.00;40.80;1;veh280;290619181#1_1;;;;;;
368.00;2;passenger;249.00;794.42;;119.00;10.96;tripinfo_veh379 routing_veh379;5.10;-0.83;22.90;175999134_1;0.00;30.36;1;veh379;37180741#0_1;;;;;;
368.00;0;passenger;272.00;713.18;;96.00;10.98;tripinfo_veh413 routing_veh413;5.10;-0.24;18.17;38044987#0_1;0.00;39.32;1;veh413;69221692#9_1;;;;;;
